Name,Relevant,Subject category,Datatype,Target,Abstract Note,Author,DOI,Item Type,Key,Publication Year,from,match
Intrusion Detection using Deep Learning Approach with Different Optimization,NO,,,,"… The architecture of convolutional neural network consist of different … 1) Data Cleaning: The term data cleaning can express the redundancies in the datasets. Because of data cleaning, …","Solanke, AV; Patnaik, GK",,journalArticle,WCZKPD32,2020,,1
Rule-based data cleaning,traditional DC,,,,"… popularity and applicability of machine learning techniques, we … machine learning techniques are used for data cleaning, and how data cleaning is used to improve machine learning …","Ilyas, IF; Chu, X",10.1145/3310205.3310212,journalArticle,PPN6GF3X,0,,1
DAIL: Dataset-aware and invariant learning for face recognition,NO,,,,"… , leading to the ID overlapping issue, and design a datasetaware loss to solve the ID overlapping issue without any effort on label cleaning and unsupervised soft label approaches. …","Wang, G; Chen, L; Liu, T; He, M; ...",,journalArticle,4LCWJ8XI,2021,,1
DNN Applications to Bioinformatics,NO,,,,… Reduced efforts in data cleaning … A recurrent neural network and the unfolding in time of the computation involved in its forward computation. (fig 5 of LeCun et al. 2015 Nature) …,"Lee, S",,journalArticle,WA7LLGH2,0,,1
Evaluating the Effectiveness of the Standard Insights Extraction Pipeline for Bantu Languages,NO,,,,"Extracting insights from data obtained from the web in order to identify peoples views and opinions on various topics is a growing practice. The standard insights extraction pipeline is typically an unsupervised machine learning task composed of processes that preprocess the text, visualize it, cluster and identify the topics and sentiment in each cluster, and then graph the network. Given the increasing amount of data being generated on the internet in Africa today, and the multilingual state of African countries, we evaluated how well the standard pipeline works when applied to text wholly or partially written in indigenous African languages, specifically Bantu languages. We carried out an exploratory investigation using Twitter data and compared the outputs from each step of the pipeline for an English dataset and a mixed Bantu language dataset. We found that for Bantu languages, due to their complex grammatical structure, extra preprocessing steps such as part-of-speech tagging and morphological analysis are required during data cleaning, threshold values should be adjusted during topic modeling, and semantic analysis should be performed before completing text preprocessing.  2020, Springer Nature Switzerland AG.","Nchabeleng, Mathibele; Byamugisha, Joan",10.1007/978-3-030-45439-5_11,conferencePaper,R84U7N45,2020,,1
Un-supervised and semi-supervised hand segmentation in egocentric images with noisy label learning,NO,,,,… Simplified overview of the proposed semi-supervised hand segmentation method. The label cleaning net is supervised by a few clean annotations (not shown). While the segmentation …,"Li, Y; Jia, L; Wang, Z; Qian, Y; Qiao, H",,journalArticle,QRTHAZI2,2019,,1
Repair diversification: A new approach for data repairing,YES,DC4ML,tabular,features,"… risk of losing critical data, the guided data repairing framework [24] is recently proposed to … are first presented to the users, and machine learning techniques are then applied to user …","He, C; Tan, Z; Chen, Q; Sha, C",,journalArticle,3FS2X9T2,2016,aug,1
Interactive label cleaning with example-based explanations,YES,"DC4ML, ML4DC",any,label,"We tackle sequential learning under label noise in applications where a human supervisor can be queried to relabel suspicious examples. Existing approaches are flawed, in that they only relabel incoming examples that look ""suspicious"" to the model. As a consequence, those mislabeled examples that elude (or don't undergo) this cleaning step end up tainting the training data and the model with no further chance of being cleaned. We propose CINCER, a novel approach that cleans both new and past data by identifying pairs of mutually incompatible examples. Whenever it detects a suspicious example, CINCER identifies a counter-example in the training set that-according to the model-is maximally incompatible with the suspicious example, and asks the annotator to relabel either or both examples, resolving this possible inconsistency. The counter-examples are chosen to be maximally incompatible, so to serve as explanations of the model's suspicion, and highly influential, so to convey as much information as possible if relabeled. CINCER achieves this by leveraging an efficient and robust approximation of influence functions based on the Fisher information matrix (FIM). Our extensive empirical evaluation shows that clarifying the reasons behind the model's suspicions by cleaning the counter-examples helps in acquiring substantially better data and models, especially when paired with our FIM approximation. Copyright  2021, The Authors. All rights reserved.","Teso, Stefano; Bontempelli, Andrea; Giunchiglia, Fausto; Passerini, Andrea",,journalArticle,EHMHZTMY,2021,aug,1
Early Detection of Melanoma Skin Cancer Using Image Processing and Deep Learning,NO,,,,"… We used the data cleaning process was used to extract the melanoma and benign … After data cleaning process, we developed the dataset of 17805 images for training of deep learning …","Shah, SAR; Ahmed, I; Mujtaba, G; Kim, MH; Kim, C; ...",10.1007/978-981-19-1053-1,journalArticle,I992LAN2,2022,,1
Data deduplication,Secondary works,,,,"… popularity and applicability of machine learning techniques, we … machine learning techniques are used for data cleaning, and how data cleaning is used to improve machine learning …","Ilyas, IF; Chu, X",10.1145/3310205.3310209,journalArticle,UDZTS9EB,0,,1
Ease. ml: Towards multi-tenant resource sharing for machine learning workloads,NO,,,,"… version of ease.ml usually involve reinforcement learning or sophisticated … in Figure 3. To specify a machine learning task, the user … when the users want to conduct data cleaning on the …","Li, T; Zhong, J; Liu, J; Wu, W; Zhang, C",10.1145/3177732.3177737,journalArticle,36HW8QGT,2018,,1
A localized NARX Neural Network model for Short-term load forecasting based upon Self-Organizing Mapping,NO,,,,"… function localization neural network [9], [10], therefore we bring the idea and enhance the NARX Neural Network short-… While raw data is through data cleaning, a total more than 85000 …","Li, H; Zhu, Y; Hu, J; Li, Z",,journalArticle,ZWSQLQVJ,2017,,1
On deep learning based algorithms for detection of diabetic retinopathy,NO,,,,… to the data cleaning process in a conventional deep learning domain. … of machine learning with deep learning. Results of a deep learning model mixed with a typical machine learning …,"Thanati, H; Chalakkal, RJ; ...",,journalArticle,EN544JMZ,2019,,1
One-shot Weakly-Supervised Segmentation in Medical Images,NO,,,,… icantly impact the performance of deep learning models [3… under six categories: 1) Label cleaning and pre-processing [37… The experiment results show that the iterative label cleaning …,"Lei, W; Su, Q; Gu, R; Wang, N; Liu, X; Wang, G; ...",,journalArticle,RE7ZIMD5,2021,,1
Hyperparameter Tuning Using Automated Methods to Improve Models for Predicting Student Success,NO,,,,"Predicting student failure is an important task for educators and a popular application in Educational Data Mining. However, building prediction models is not an easy task and requires time and expertise for feature engineering, model selection, and hyperparameters tuning. In this paper, a strategy of automatic machine learning is used to assess the impact on the performance of prediction models. A previous experiment was modified to include hyperparameter tuning with an autoML method for hyperparameters tuning. The data cleaning, preprocessing, feature engineering and time segmentation approach part of the experiment remained unchanged. With this approach, the correct impact on model performance by hyperparameter tuning can be measured on models that were carefully built. The results show improved performance especially for Decision Tree, Extra Tree, Random Forest Classifiers. This study shows that even carefully planned educational prediction models can benefit for the use of autoML methods and could help non-expert users in the field of EDM to achieve accurate results.  2020, Springer Nature Switzerland AG.","Drgulescu, Bogdan; Bucos, Marian",10.1007/978-3-030-59506-7_25,conferencePaper,XG2IESZY,2020,,1
An Improved Model for Opinion Mining of Public Reviews using Recurrent Neural Network,NO,,,,"Mining of opinions are very crucial in all fields from e commerce websites to social media platforms. The products on any e commerce websites have thousands of reviews which helps customers to make a decision a product. Social media websites also have people with large number of opinions on a particular subject. Mining of opinions can be extensively used in the fields where opinions play a major role. This project caters to this need and classifies the opinions of people as positive and negative. This can further be used by movie recommendation systems and e commerce websites for evaluation of their product. It involved in the classification the opinions as positive opinions and negative opinions with the help of deep learning algorithms by achieving high accuracy. The procedures involved in this project will be of dataset selection, data preprocessing, data tokenization, and data cleansing and building a neural network. We have taken the dataset of reviews for this purpose. Data preprocessing and data cleansing is done so that deep learning algorithms can be easily applied on the data. Deep learning algorithms learn on their own and do not require guidance. The main objective of using deep learning model is for increasing efficiency, performance and accuracy. Here, we have applied three different neural network models to our dataset and compare the performances according to the testing and training accuracy obtained. Analysis of the three models concludes that Recurrent Neural Model (RNN) has least over fitting with considerable testing and training accuracy. Hence, it best suits the problem statement.  2021 IEEE.","Singh, Prabhat; Singh, Yash Pratap; Kapil, Sparshi; Srivastava, Shristi; Vishwakarma, Vishwash",10.1109/ICTAI53825.2021.9673172,conferencePaper,XPERFU5K,2021,,1
Using Machine Learning Models to Detect Different Intrusion on NSL-KDD,NO,,,,"… This step is the most important step in machine learning. The data cleaning and preprocessing just made the data of the data set can be input into the model, while whether the results …","Ao, H",,journalArticle,4M67JYUV,2021,,1
Robust multi-view manifold ranking for image retrieval,NO,,,,"… online ranker from a set of candidates based on reinforcement learning … based on Neighbor Voting, develop a data cleaning solution to … D., Gao, X., Li, X.: Weakly supervised multi-graph …","Wu, J; Yuan, J; Luo, J",10.1007/978-3-319-31750-2_8,journalArticle,FBG6B2NB,2016,,1
A citeseerx-based dataset for record linkage and metadata extraction,Specific,,,,"Data cleaning constitutes an important problem in information science. Collecting data about the same entities from multiple sources or following distinct methodologies might result in slightly different, inconsistent data. The objective of data cleaning is to produce a fused version combining the differing data, resulting in a cleaner dataset. In this paper we collect document metadata records from CiteSeerX and build a supervised record linker to Crossref. The supervised method is trained using a manually linked dataset containing 512 verified DOIs-to our knowledge, up to now being the largest such dataset for bibliographic record linkage. We experiment using different supervised learning methods, and also prove experimentally that the accuracy of the attached metadata records can improve the performance of automatic metadata extraction systems.  2018 IEEE.","Bodo, Zalan",10.1109/SYNASC.2018.00044,conferencePaper,B2DBKNWK,2018,,1
Mislabeled Samples Adjustment Based on Self-paced Learning Framework,YES,"DC4ML, ML4DC",any,label,"Human have ability to detect and correct the mistakes in life events. For instance, it could be easy for a child to find a cat image incorrectly labeled with a dog label. However, supervised learning network directly learns the mapping between features and labels even though some labels are obviously wrong. Label noise surely increases the complexity of model and undermine the model performance. Enlightened by self-paced learning (SPL) framework which can learn samples in the order of complexity, we propose one iteration-based framework called MSASL which can discriminate and correct the possibly mislabeled samples. The approach can not only achieve the data cleansing task, but also ensure the performance of the model.  2021 IEEE.","Huang, Zhongtao; Li, Xiaojuan; Deng, Lingzhu; Wei, Kaizhen; Sui, Yunfeng",10.1109/ICCC54389.2021.9674334,conferencePaper,UFIK4UQC,2021,aug,1
Predicting asthma attacks in primary care: protocol for developing a machine learning-based prediction model,NO,,,,"Introduction Asthma is a long-term condition with rapid onset worsening of symptoms ('attacks') which can be unpredictable and may prove fatal. Models predicting asthma attacks require high sensitivity to minimise mortality risk, and high specificity to avoid unnecessary prescribing of preventative medications that carry an associated risk of adverse events. We aim to create a risk score to predict asthma attacks in primary care using a statistical learning approach trained on routinely collected electronic health record data. Methods and analysis We will employ machine-learning classifiers (naive Bayes, support vector machines, and random forests) to create an asthma attack risk prediction model, using the Asthma Learning Health System (ALHS) study patient registry comprising 500 000 individuals across 75 Scottish general practices, with linked longitudinal primary care prescribing records, primary care Read codes, accident and emergency records, hospital admissions and deaths. Models will be compared on a partition of the dataset reserved for validation, and the final model will be tested in both an unseen partition of the derivation dataset and an external dataset from the Seasonal Influenza Vaccination Effectiveness II (SIVE II) study. Ethics and dissemination Permissions for the ALHS project were obtained from the South East Scotland Research Ethics Committee 02 [16/SS/0130] and the Public Benefit and Privacy Panel for Health and Social Care (1516-0489). Permissions for the SIVE II project were obtained from the Privacy Advisory Committee (National Services NHS Scotland) [68/14] and the National Research Ethics Committee West Midlands-Edgbaston [15/WM/0035]. The subsequent research paper will be submitted for publication to a peer-reviewed journal and code scripts used for all components of the data cleaning, compiling, and analysis will be made available in the open source GitHub website (https://github.com/hollytibble).","Tibble, H; Tsanas, A; Horne, E; Horne, R; Mizani, M; Simpson, CR; Sheikh, A",10.1136/bmjopen-2018-028375,journalArticle,QVS4YLF7,2019,,1
Prediction of breast cancer recurrence: a machine learning approach,NO,,,,… Section 2 presents the implementation part ie the detailed analysis of the dataset including the data cleaning preprocessing. Also it includes the details of the machine learning …,"Goyal, K; Aggarwal, P; Kumar, M",10.1007/978-981-13-8676-3_10,journalArticle,QUEHVPND,2020,,1
Understanding career progression in baseball through machine learning,NO,,,,"… Jonathan Hollenbeck led the data cleaning portion of the activities, setting up a SQL database system for easier manipulation. Brian Bierig led the machine learning aspect of the project …","Bierig, B; Hollenbeck, J; Stroud, A",,journalArticle,5PUJD88F,2017,,1
TMop: a tool for unsupervised translation memory cleaning,NO,,,,"… However, casting the problem as a supervised binary … existing tools that incorporate some data cleaning methods (eg … Second, our approach to TM cleaning is fully unsupervised. This …","Sabet, MJ; Negri, M; Turchi, M; ...",,journalArticle,MC7RI25S,2016,,1
A general machine learning framework for solving real applications with a texture perception case study,NO,,,,"Machine learning, especially deep learning, has made great achievements in application domains such as computer vision, speech recognition, machine translation, etc. This great success not only depends on the progress of model design but also on the emergence of large-scale annotated benchmark datasets. However, in some application domains, it is difficult to apply machine learning methods to solve the new arising problems due to the lack of standardized and annotated datasets. People have to find their way from the very beginning of the data collecting, cleaning, and labeling. Unfortunately, there is not a guiding framework to deal with such a situation. This paper pays attention to it and proposes a general machine learning framework to solve the pratical problems from the scratch. It contains two main stages implemented by an unsupervised clustering method and a semi-supervised learning method representatively. In the first stage, an unsupervised clustering method is utilized to find representative data samples which are more important and can be used to do data cleaning and manual labeling. In the second stage, a semi-supervised method is adopted to predict the labels for the rest data samples and to construct a larger annotated dataset. A case study in the texture perception field has been done to confirm the effectiveness and efficiency of the proposed application framework.  2021 IEEE.","Zhang, Qin; Liu, Jing; Sun, Huali; Liu, Jun",10.1109/ICIVC52351.2021.9526959,conferencePaper,5URM4HAT,2021,,1
Self-service workflows for recommendation systems using online machine learning services,NO,,,,"… S4 The weighting, anomaly removal and data cleansing processes increases machine learning accuracy by at least 5%. S5 It produces different machine learning systems in a coherent …","Ng, B",,journalArticle,7VRPBVSR,2018,,1
Solar thermal generation forecast via deep learning and application to buildings cooling system control,NO,,,,"Reliable prediction of solar thermal power is essential for optimal operation and control of renewable energy driven distributed power systems. This paper presents a Convolutional Neural Networks (CNNs) based multivariate approach for forecasting power generation from solar thermal collectors over multiple horizons simultaneously. It also demonstrates an application of solar thermal power generation forecasting in a building cooling system as part of a predictive central controller. Historical data from an evacuated collector field and a single axis tracking collector field have been used to develop the prediction models and assess the performance of the proposed approach. Experimental results show that the proposed approach provides accurate prediction for multiple forecast horizons: MAPE is 2.99%–4.18% for 30 min to 24 h ahead prediction. The proposed approach utilising both historical and predicted future weather data achieves 25%–37% improvements of accuracy compared to its univariate counterpart that uses only lagged power data as input. It also outperforms existing data driven approaches based on NNs, LSTM, and RF, and achieves 5.46%–21.28% statistically significant improvements compared to them.","Rana, Mashud; Sethuvenkatraman, Subbu; Heidari, Rahmat; Hands, Stuart",10.1016/j.renene.2022.07.005,journalArticle,AYFLMBBE,2022,,1
Machine learning application to estimate missing rock mechanical logs and reduce uncertainty while drilling,NO,,,,"This study presents a data-driven approach using machine learning algorithms to provide predicted analogues in the absence of acoustic logs, especially while drilling. Acoustic logs are commonly used to derive rock mechanical properties; however, these data are not always available. Well logging data (wireline/logging while drilling - LWD), such as gamma ray, density, neutron porosity, and resistivity, are used as input parameters to develop the data-driven rock mechanical models. In addition to the logging data, real-time drilling data (i.e., weight-on-bit, rotation speed, torque, rate of penetration, flowrate, and standpipe pressure) are used to derive the model. In the data preprocessing stage, we labeled drilling and well logging data based on formation tops in the drilling plan and performed data cleansing to remove outliers. A set of field data from different wells across the same formation is used to build and train the predictive models. We computed feature importance to rank the data based on the relevance to predict acoustic logs and applied feature selection techniques to remove redundant features that may unnecessarily require a more complex model. An additional feature, mechanical specific energy, is also generated from drilling real-time data to improve the prediction accuracy. A number of scenarios showing a comparison of different predictive models were studied, and the results demonstrated that adding drilling data and/or feature engineering into the model could improve the accuracy of the models.  2021, Society of Petroleum Engineers.","Negara, Ardiansyah; Magana-Mora, Arturo; Khan, Khaqan; Vossen, Johannes; Zhan, Guodong David; Otalvora, William Contreras; Bomidi, John",10.2118/205638-MS,conferencePaper,IJSFYVRR,2021,,1
Rheem: Enabling Multi-Platform Task Execution,NO,,,,,"Agrawal, Divy; Ba, Lamine; Berti-Equille, Laure; Chawla, Sanjay; Elmagarmid, Ahmed; Hammady, Hossam; Idris, Yasser; Kaoudi, Zoi; Khayyat, Zuhair; Kruse, Sebastian; Ouzzani, Mourad; Papotti, Paolo; Quiane-Ruiz, Jorge-Arnulfo; Tang, Nan; Zaki, Mohammed J.",,conferencePaper,BQWZA968,2016,,1
Stock price forecasting model analysis based on the wavelet neural network and the data cleaning technology,NO,,,,"Financial time arrangement, for example, stock cost and trade rates are, regularly, non-straight and non-stationary. Beforehand, numerous scientists have endeavored to conjecture those utilizing factual models and machine learning models. Measurable models expect the time arrangement to be stationary and straight, accordingly bringing about expansive factual mistakes. Examination and expectation of securities exchange time arrangement information has pulled in impressive enthusiasm from the exploration group in the course of the most recent decade. Quick advancement and development of modern calculations for measurable examination of time arrangement information, and accessibility of elite equipment has made it conceivable to prepare and dissect high volume securities exchange time arrangement information successfully, continuously. In monetary field, exceptions speak to unpredictability of securities exchange, which assumes an imperative part in administration, portfolio choice and subordinate evaluating. Along these lines, anticipating anomalies of securities exchange is of the immense significance in principle and application. In this paper, the issue of anticipating anomalies in light of versatile gathering models of Intense Erudition Machines (IEMs) is considered. We discovered that the prescribed novel model is material for exception estimating and beats the strategies in light of auto relapse (AR) Intense Erudition Machines (IEMs) models.","Sun, X; Tang, ZQ; Guo, ZW",,conferencePaper,2ZXK2SD6,2016,,1
Leveraging Lead Bias for Zero-shot Abstractive News Summarization,NO,,,,"A typical journalistic convention in news articles is to deliver the most salient information in the beginning, also known as the lead bias. While this phenomenon can be exploited in generating a summary, it has a detrimental effect on teaching a model to discriminate and extract important information in general. We propose that this lead bias can be leveraged in our favor in a simple and effective way to pre-train abstractive news summarization models on large-scale unlabeled news corpora: predicting the leading sentences using the rest of an article. We collect a massive news corpus and conduct data cleaning and filtering via statistical analysis. We then apply self-supervised pre-training on this dataset to existing generation models BART and T5 for domain adaptation. Via extensive experiments on six benchmark datasets, we show that this approach can dramatically improve the summarization quality and achieve state-of-the-art results for zero-shot news summarization without any fine-tuning. For example, in the DUC2003 dataset, the ROUGE-1 score of BART increases 13.7% after the lead-bias pre-training. We deploy the model in Microsoft News and provide public APIs as well as a demo website for multi-lingual news summarization.  2021 ACM.","Zhu, Chenguang; Yang, Ziyi; Gmyr, Robert; Zeng, Michael; Huang, Xuedong",10.1145/3404835.3462846,conferencePaper,LNIBFD6X,2021,,1
Software reliability prediction of mobile applications using machine learning techniques,NO,,,,"… At the same time, Machine Learning (ML) is a recent recipient of much attention from … stages of data cleaning and pre-processing before they were modelled using five machine learning …","Hoosen, S",,book,4FBJ75Y6,2021,,1
Artificial Intelligence Model for Prediction of Local and Main FALL in caving Panel of Bord and Pillar Method of Mining,NO,,,,"… The missing values have been dropped, after data cleaning, the categorical variables are transformed into numerical vectors. The deep learning algorithms which use weighted sum of …","Prajapati, RB; Sinha, RK; Gupta, RN; ...",,journalArticle,GMCEZNJS,2022,,1
Lecture 1: What is Data Mining?,NO,,,,"… (supervised learning). In the second half, Thomas will continue the ”mining” theme, covering unsupervised … data acquisition/data wrangling/data cleaning aspects. Data wrangling is also …","Lee, A",,journalArticle,DDX3RGSW,2017,,1
Leveraging big data to combat terrorism in developing countries,NO,,,,"… scrapper tool, the data cleaning, data filtering and deep learning capability of the Apache … elaborates the data, and allows selected machine learning operations to be performed on the …","Kolajo, T; Daramola, O",,journalArticle,9IINUTC2,2017,,1
"Data Product: Analysis, Visualization and Prediction",NO,,,,"… The Objective of this paper is to provide a cross platform for data cleaning, … machine learning algorithms for data mining tasks . WEKA is well-suited for developing new machine learning …","Agrawal, T; Doke, A; Gaikwad, A; Patil, M",,journalArticle,T9Y3GRX4,0,,1
RCA Prediction using Machine Learning,NO,,,,"… of predicting RCA using machine learning [8]. We have used Simple Log-file Clustering Tool (SLCT) [1], [6], [14] algorithm for log parsing and unwanted data cleansing. Once we …","Lalwani, H; Gupta, R; Srivastava, S; ...",,journalArticle,9N9JUJW9,2019,,1
Improving Duckworth lewis method by using machine learning,NO,,,,"… they are data collection, data cleaning and data conversion. Data processing is done in order to find out any noise or any unwanted data which can dilute our machine learning models …","Jaipal, MS",,book,YPE6DZTX,2017,,1
Coupling the PAELLA algorithm to predictive models,NO,,,,"… of outlier detection and data cleaning. As a consequence, it is … running processes and machine learning provides the right … has been reported developing data cleaning operations. Its …","Castejón-Limas, M; Alaiz-Moreton, H; ...",10.1007/978-3-319-67180-2_49,journalArticle,HX5LMATF,2017,,1
Machine learning methods for microbiome studies,NO,,,,… This article provides an overview of machine learning methods for non-data scientists … to be preprocessed including data cleaning and normalization. Data cleaning includes converting …,"Namkung, J",10.1007/s12275-020-0066-8,journalArticle,7GVAWC54,2020,,1
A proposed framework using CAC algorithm to predict systemic lupus erythematosus (SLE),NO,,,,"… is best suitable for supervised, semi supervised and unsupervised data. The algorithm is … etc., The data and attribute is selected and the data cleaning is done. The data is integrated, …","Gomathi, S; Narayani, V",,journalArticle,H5XI9KKP,2016,,1
Time Series Segmentation of Flood Flow Based on Bi-LG-LSTM Neural Network,NO,,,,"With fast development of big data technology, how to mine useful information from a large amount of time series data is an important task in hydrology. Such process of information mining should be built on the basis of pre-processing, including data cleaning, aligning, segmentation and so on. In this paper, we mainly focus on an efficient algorithm to accurately segment time sequences in hydrology domain. Although traditional methods of time series segmentation can segment time series easily, there are three drawbacks in traditional methods; First, traditional segmentation methods pay more attention to the evaluation of the compression ratio and the fitting rate, but ignore the accuracy of segmentation points; Secondly, traditional segmentation methods do not take the information of time series data itself into account, such as it is easy to divide a whole time series into two time series segments, which leads to losing semantic information in time series analysis. Finally, in these traditional evaluations of time series segmentation, the number of segments and the position of the segmentation points are not comprehensively taken into account. In this paper, we propose a time series segmentation method based on Bi-LG-LSTM neural network, which is modified on the base of the LSTM/Bi-LSTM neural network. Through the supervised learning method on flood flow data sets, we can extract a large number of effective segments of the time series. Meanwhile, we propose a novel evaluation method, which utilizes the dynamic DTW distance method to evaluate the results of the time series segmentation method. The evaluation method takes the position of segmentation points and the number of time series segments into consideration. Experiments on the flood flow time series show that our proposed method has an obvious effect.  2020 IEEE.","Feng, Jun; Wang, Haohang; Wu, Yirui",10.1109/ICCCBDA49378.2020.9095566,conferencePaper,YHXZICWT,2020,,1
Automated classification of piping components from 3D LiDAR point clouds using SE-PseudoGrid,NO,,,,"… , we faithfully preprocess the Pipework for deep learning training following the practice of the … Therefore, we perform a thorough checking and data cleaning using a customized Python …","Yin, C; Cheng, JCP; Wang, B; Gan, VJL",,journalArticle,CHAQ6XE3,2022,,1
Modeling and Simulation of Cell Signaling Networks for Subsequent Analytics Processes Using Big Data and Machine Learning,NO,,,,"… As mentioned earlier, machine learning requires a dataset with which the learning process … , including data cleansing, to transform it into a format that a machine learning algorithm can …","Sánchez-Gutiérrez, ME; ...",10.1177/11779322221091739,journalArticle,9V6CSL3Y,2022,,1
What can we learn from telematics car driving data: A survey,NO,,,,"We give a survey on the field of telematics car driving data research in actuarial science. We describe and discuss telematics car driving data, we illustrate the difficulties of telematics data cleaning, and we highlight the transparency issue of telematics car driving data resulting in associated privacy concerns. Transparency of telematics data is demonstrated by aiming at correctly allocating different car driving trips to the right drivers. This is achieved rather successfully by a convolutional neural network that manages to discriminate different car drivers by their driving styles. In a last step, we describe two approaches of using telematics data for improving claims frequency prediction, one is based on telematics heatmaps and the other one on time series of individual trips, respectively.","Gao, Guangyuan; Meng, Shengwang; Wüthrich, Mario V.",10.1016/j.insmatheco.2022.02.004,journalArticle,9E5KYQGZ,2022,,1
Optimize_Prime@ DravidianLangTech-ACL2022: Emotion Analysis in Tamil,NO,,,,… Data cleaning boosted the performance of all RNN models … and all ensemble models worked best without data cleaning. … We then pass these embeddings to different machine learning …,"Gokhale, O; Patankar, S; Litake, O; Mandke, A; ...",,journalArticle,RZKZFLDU,2022,,1
Materials Data toward Machine Learning: Advances and Challenges,NO,,,,"… data involved in machine learning applications as reported in … materials data toward machine learning in materials research … , with the help of data cleaning and data-mining methods. …","Zhu, L; Zhou, J; Sun, Z",10.1021/acs.jpclett.2c00576,journalArticle,D2HJMH9D,2022,,1
Deep reinforcement learning for syntactic error repair in student programs,NO,,,,"Novice programmers often struggle with the formal syntax of programming languages. In the traditional classroom setting, they can make progress with the help of real time feedback from their instructors which is often impossible to get in the massive open online course (MOOC) setting. Syntactic error repair techniques have huge potential to assist them at scale. Towards this, we design a novel programming language correction framework amenable to reinforcement learning. The framework allows an agent to mimic human actions for text navigation and editing. We demonstrate that the agent can be trained through self-exploration directly from the raw input, that is, program text itself, without either supervision or any prior knowledge of the formal syntax of the programming language. We evaluate our technique on a publicly available dataset containing 6975 erroneous C programs with typographic errors, written by students during an introductory programming course. Our technique fixes 1699 (24.4%) programs completely and 1310 (18.8%) program partially, outperforming DeepFix, a state-of-the-art syntactic error repair technique, which uses a fully supervised neural machine translation approach.  2019, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.","Gupta, Rahul; Kanade, Aditya; Shevade, Shirish",,conferencePaper,CZQDNH5H,2019,,1
Ensemble Learning Models Based on Noninvasive Features for Type 2 Diabetes Screening: Model Development and Validation,NO,,,,"Background: Early diabetes screening can effectively reduce the burden of disease. However, natural population-based screening projects require a large number of resources. With the emergence and development of machine learning, researchers have started to pursue more flexible and efficient methods to screen or predict type 2 diabetes. Objective: The aim of this study was to build prediction models based on the ensemble learning method for diabetes screening to further improve the health status of the population in a noninvasive and inexpensive manner. Methods: The dataset for building and evaluating the diabetes prediction model was extracted from the National Health and Nutrition Examination Survey from 2011-2016. After data cleaning and feature selection, the dataset was split into a training set (80%, 2011-2014), test set (20%, 2011-2014) and validation set (2015-2016). Three simple machine learning methods (linear discriminant analysis, support vector machine, and random forest) and easy ensemble methods were used to build diabetes prediction models. The performance of the models was evaluated through 5-fold cross-validation and external validation. The Delong test (2-sided) was used to test the performance differences between the models. Results: We selected 8057 observations and 12 attributes from the database. In the 5-fold cross-validation, the three simple methods yielded highly predictive performance models with areas under the curve (AUCs) over 0.800, wherein the ensemble methods significantly outperformed the simple methods. When we evaluated the models in the test set and validation set, the same trends were observed. The ensemble model of linear discriminant analysis yielded the best performance, with an AUC of 0.849, an accuracy of 0.730, a sensitivity of 0.819, and a specificity of 0.709 in the validation set. Conclusions: This study indicates that efficient screening using machine learning methods with noninvasive tests can be applied to a large population and achieve the objective of secondary prevention.","Yang, TZ; Zhang, L; Yi, LW; Feng, HW; Li, SM; Chen, HY; Zhu, JF; Zhao, J; Zeng, YY; Liu, HS",10.2196/15431,journalArticle,JCA8DQMQ,2020,,1
Prediction and Optimization of WAG Flooding by Using LSTM Neural Network Model in Middle East Carbonate Reservoir,NO,,,,"Production prediction continues to play an increasingly significant role in reservoir development adjustment and optimization, especially in water-alternating-gas (WAG) flooding. As artificial intelligence continues to develop, data-driven machine learning method can establish a robust model based on massive data to clarify development risks and challenges, predict development dynamic characteristics in advance. This study gathers over 15 years actual data from targeted carbonate reservoir and establishes a robust Long Short-Term Memory (LSTM) neural network prediction model based on correlation analysis, data cleaning, feature variables selection, hyper-parameters optimization and model evaluation to forecast oil production, gas-oil ratio (GOR), and water cut (WC) of WAG flooding. In comparison to traditional reservoir numerical simulation (RNS), LSTM neural networks have a huge advantage in terms of computational efficiency and prediction accuracy. The calculation time of LSTM method is 864% less than reservoir numerical simulation method, while prediction error of LSTM method is 261% less than RNS method. We classify producers into three types based on the prediction results and propose optimization measures aimed at the risks and challenges they faced. Field implementation indicates promising outcome with better reservoir support, lower GOR, lower WC, and stabler oil production. This study provides a novel direction for application of artificial intelligence in WAG flooding development and optimization.  Copyright 2021, Society of Petroleum Engineers","Huang, Ruijie; Wei, Chenji; Li, Baozhu; Yang, Jian; Wu, Suwei; Xu, Xin; Ou, Yajie; Xiong, Lihui; Lou, Yuankeli; Li, Zhengzhong; Deng, Ya; Zhang, Chenjun",10.2118/207584-MS,conferencePaper,XYAYRTZL,2021,,1
