,Name,Author's affiliation,venue name,Item Type,Publication Year,Subject category,Data type,task,Abstract Note,Author,Assignee,Relevant,DOI,Compared approaches,Dataset,Error type,Limitations and shortcomings,Model,"Performance (ML-wise e.g. accuracy, etc.)","Performance (engineering-wise e.g. time, memory, etc.)",Quality measurements,In SLR,Key,Personal comments,Q1,Q1.1,Q1.2,Q1.3,Q1.4,Q1.5,Q1.6,Q1.7,Q2,Q2.1,Q2.2,Replication package link,from
39,EfficientCLIP: Efficient cross-modal pre-training by Ensemble Confident Learning and language modeling,,,journalArticle,2021,,?,mislabel correction,"While large scale pre-training has achieved great achievements in bridging the gap between vision and language, it still faces several challenges. First, the cost for pre-training is expensive. Second, there is no efficient way to handle the data noise which degrades model performance. Third, previous methods only leverage limited image-text paired data, while ignoring richer single-modal data, which may result in poor generalization to single-modal downstream tasks. In this work, we propose an EfficientCLIP method via Ensemble Confident Learning to obtain a less noisy data subset. Extra rich non-paired single-modal text data is used for boosting the generalization of text branch. We achieve the state-of-the-art performance on Chinese cross-modal retrieval tasks with only 1/10 training resources compared to CLIP and WenLan, while showing excellent generalization to single-modal tasks including text retrieval and text classification. Copyright  2021, The Authors. All rights reserved.","Wang, Jue; Wang, Haofan; Deng, Jincan; Wu, Weijia; Zhang, Debing",PO,score too low,,,,,,,,,,,,,6,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2,1.0,1.0,,
40,Data readiness report,Industry,IEEE International Conference on Smart Data Services (SMDS),conferencePaper,2021,"DC4ML, DC4ML - intro only",any,error detection/repair,"Data exploration and quality analysis is an important yet tedious process in the AI pipeline. Current data cleaning and data readiness assessment practices for machine learning tasks are mostly conducted in an arbitrary manner which limits their reuse and often results in loss of productivity. We introduce the concept of a Data Readiness Report as accompanying documentation to a dataset that allows data consumers to get detailed insights into the quality of data. Data characteristics and challenges on various quality dimensions are identified and documented, keeping in mind the principles of transparency and explainability. The Data Readiness Report also serves as a record of all data assessment operations, including applied transformations. This provides a detailed lineage for data governance and management. In effect, the report captures and documents the actions taken by various personas in a data readiness and assessment workflow. Over time this becomes a repository of best practices and can potentially drive a recommendation system for building automated data readiness workflows on the lines of AutoML [1]. The data readiness report could serve as a valuable asset for organizing and operationalizing data in a Data-as-a-service model as it augments the trust and reliability of the datasets. We anticipate that together with the Datasheets [2], Dataset Nutrition Label [3], FactSheets [4] and Model Cards [5], the Data Readiness Report completes the AI documentation pipeline and increases trust and re-useability of data. 2021 IEEE","Afzal, Shazia; Rajmohan, C.; Kesarwani, Manish; Mehta, Sameep; Patel, Hima",PO,score too low - 2,10.1109/SMDS53860.2021.00016,-,-,-,-,-,-,-,-,,-,-,7,2.0,2.0,1.0,0.0,0.0,2.0,0.0,1,1.0,0.0,-,
41,W2WNET: A two-module probabilistic Convolutional Neural Network with embedded data cleansing functionality,Academia,Expert Syst. Appl.,journalArticle,2021,"DC4ML, ML4DC",img,mislabel correction,"Convolutional Neural Networks (CNNs) are supposed to be fed with only high-quality annotated datasets. Nonetheless, in many real-world scenarios, such high quality is very hard to obtain, and datasets may be affected by any sort of image degradation and mislabelling issues. This negatively impacts the performance of standard CNNs, both during the training and the inference phase. To address this issue we propose Wise2WipedNet (W2WNet), a new two-module Convolutional Neural Network, where a Wise module exploits Bayesian inference to identify and discard spurious images during the training, and a Wiped module takes care of the final classification, while broadcasting information on the prediction confidence at inference time. The goodness of our solution is demonstrated on a number of public benchmarks addressing different image classification tasks, as well as on a real-world case study on histological image analysis. Overall, our experiments demonstrate that W2WNet is able to identify image degradation and mislabelling issues both at training and at inference time, with positive impact on the final classification accuracy.  2021, CC BY.","Ponzio, Francesco; Macii, Enrico; Ficarra, Elisa; Di Cataldo, Santa",PO,YES,,(1) baseline (i.e. CNN without cleansing capabilities) (2) a feature data cleaning approch and (3) a label data cleaning approch (see [2] [16] in paper),(1) MNIST (2) CIFAR10 (3) CRC,any,-,CNN,-,"better than compared approach, however, not significantly",(1) % of corrupted samples removed (2) % of clean samples removed (3) end-model performance,,,-,12,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4,2.0,2.0,-,
42,Data cleansing for deep neural networks with storage-efficient approximation of influence functions,Industry,arxiv,journalArticle,2021,"DC4ML, ML4DC",img,mislabel correction,"Identifying the influence of training data for data cleansing can improve the accuracy of deep learning. An approach with stochastic gradient descent (SGD) called SGD-influence to calculate the influence scores was proposed, but, the calculation costs are expensive. It is necessary to temporally store the parameters of the model during training phase for inference phase to calculate influence sores. In close connection with the previous method, we propose a method to reduce cache files to store the parameters in training phase for calculating inference score. We only adopt the final parameters in last epoch for influence functions calculation. In our experiments on classification, the cache size of training using MNIST dataset with our approach is 1.236 MB. On the other hand, the previous method used cache size of 1.932 GB in last epoch. It means that cache size has been reduced to 1/1,563. We also observed the accuracy improvement by data cleansing with removal of negatively influential data using our approach as well as the previous method. Moreover, our simple and general proposed method to calculate influence scores is available on our auto ML tool without programing, Neural Network Console. The source code is also available.  2021, CC BY.","Suzuki, Kenji; Kobayashi, Yoshiyuki; Narihira, Takuya",PO,YES,,"(1) The approach they improved from, (2) no data cleaning, (3) random data cleaning","MNIST, CIFAR10",-,TODO: read on influence functions,?,Minor (~0.5%),"Compared to (1), requires 1,563 times less space",Improvement of a ML model,,,,11,2.0,2.0,1.0,2.0,0.0,2.0,2.0,4,2.0,2.0,,
43,Chef: A cheap and fast pipeline for iteratively cleaning label uncertainties,Academia,arxiv,journalArticle,2021,"DC4ML, ML4DC",any,mislabel correction,"High-quality labels are expensive to obtain for many machine learning tasks, such as medical image classification tasks. Therefore, probabilistic (weak) labels produced by weak supervision tools are used to seed a process in which influential samples with weak labels are identified and cleaned by several human annotators to improve the model performance. To lower the overall cost and computational overhead of this process, we propose a solution called Chef (CHEap and Fast label cleaning), which consists of the following three components. First, to reduce the cost of human annotators, we use Infl, which prioritizes the most influential training samples for cleaning and provides cleaned labels to save the cost of one human annotator. Second, to accelerate the sample selector phase and the model constructor phase, we use Increm-Infl to incrementally produce influential samples, and DeltaGrad-L to incrementally update the model. Third, we redesign the typical label cleaning pipeline so that human annotators iteratively clean smaller batch of samples rather than one big batch of samples. This yields better overall model performance and enables possible early termination when the expected model performance has been achieved. Extensive experiments show that our approach gives good model prediction performance while achieving significant speed-ups. Copyright  2021, The Authors. All rights reserved.","Wu, Yinjun; Weimer, James; Davidson, Susan B.",PO,YES,,"(1) Other versions of influence functions: INFL-D, INFL-Y; (2) Active learning methods: least-confidence based and entropy based; (3) Mislabel detection approaches: O2U and TARS","(1) Fully cleaned datasets: MIMIC-CXR-JPG (MIMIC for short) [19], Chexpert [17] and Diabetic Retinopathy Detection (2) Crowdsourced datasets: Fashion 10000 (Fashion for short)1 [24], Fact Evaluation Judgement (Fact for short)2 , and Twitter sentiment analysis (Twitter for short)",mislabels,-,"models satisfying 𝜇−strong convexity, such as logisitc regression with regression. Note it is possible to use a pretrained deep learning method to transform the dataset if we do not train that NN.",Slightly better performances. The cleaning methods which use the labels suggested by their implementation of influence functions are surprisingly the best.,Open up for details,End-model accuracy,,,Very well written paper.,12,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2,2.0,0.0,https://github.com/thuwuyinjun/Chef,
44,Active label cleaning for improved dataset quality under resource constraints,Both,Nature communications,journalArticle,2021,"DC4ML, ML4DC",img,mislabel correction,"Imperfections in data annotation, known as label noise, are detrimental to the training of machine learning models and have a confounding effect on the assessment of model performance. Nevertheless, employing experts to remove label noise by fully re-annotating large datasets is infeasible in resource-constrained settings, such as healthcare. This work advocates for a data-driven approach to prioritising samples for re-annotation-which we term ""active label cleaning"". We propose to rank instances according to estimated label correctness and labelling difficulty of each sample, and introduce a simulation framework to evaluate relabelling efficacy. Our experiments on natural images and on a new medical imaging benchmark show that cleaning noisy labels mitigates their negative impact on model training, evaluation, and selection. Crucially, the proposed approach enables correcting labels up to 4 more effectively than typical random selection in realistic conditions, making better use of experts' valuable time for improving dataset quality.  2021, CC BY.","Bernhardt, Melanie; Castro, Daniel C.; Tanno, Ryutaro; Schwaighofer, Anton; Tezcan, Kerem C.; Monteiro, Miguel; Bannur, Shruthi; Lungren, Matthew P.; Nori, Aditya; Glocker, Ben; Alvarez-Valle, Javier; Oktay, Ozan",PO,YES,,(1) random selector (2) oracle,(1) NoisyCXR (2) CIFAR10H,mislabels,"(1) “A limitation of data-driven approaches for handling label
noise is that they may still be able to learn from noise patterns
in the data when label errors occur in a consistent manner”
(2) “Under extreme conditions where
the bounded noise rate assumption may not hold (i.e. where on
average there are more incorrect labels than correct in a given
dataset), random selection can become preferable over data-
driven approaches”",RobustML techniques with NNs,“4× more effectively than typical random selection in realistic conditions”,-,percentage of clean labels in the dataset,,,nature papers are so unstructured,11,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4,2.0,2.0,https://github.com/microsoft/InnerEye-DeepLearning/tree/1606729c7a16e1bfeb269694314212b6e2737939/InnerEye-DataQuality,
45,"Automated cleanup of the imagenet dataset by model consensus, explainability and confident learning",,,journalArticle,2021,"DC4ML, ML4DC",img,mislabel correction,"The convolutional neural networks (CNNs) trained on ILSVRC12 ImageNet were the backbone of various applications as a generic classifier, a feature extractor or a base model for transfer learning. This paper describes automated heuristics based on model consensus, explainability and confident learning to correct labeling mistakes and remove ambiguous images from this dataset. After making these changes on the training and validation sets, the ImageNet-Clean improves the model performance by 2-2.4 % for SqueezeNet and EfficientNet-B0 models. The results support the importance of larger image corpora and semisupervised learning, but the original datasets must be fixed to avoid transmitting their mistakes and biases to the student learner. Further contributions describe the training impacts of widescreen input resolutions in portrait and landscape orientations. The trained models and scripts are published on Github (https://github.com/kecsap/imagenetclean) to clean up ImageNet and ImageNetV2 datasets for reproducible research.  2021, CC BY.","Kertesz, Csaba",PO,score too low,,,,,,,,,,,,,6,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0,,,,
46,Cost-effective variational active entity resolution,Both,IEEE ICDE,conferencePaper,2021,ML4DC,tabular,entity matching / duplicate removal,"Accurately identifying different representations of the same real-world entity is an integral part of data cleaning and many methods have been proposed to accomplish it. The challenges of this entity resolution task that demand so much research attention are often rooted in the task-specificity and user-dependence of the process. Adopting deep learning techniques has the potential to lessen these challenges. In this paper, we set out to devise an entity resolution method that builds on the robustness conferred by deep autoencoders to reduce human-involvement costs. Specifically, we reduce the cost of training deep entity resolution models by performing unsupervised representation learning. This unveils a transferability property of the resulting model that can further reduce the cost of applying the approach to new datasets by means of transfer learning. Finally, we reduce the cost of labeling training data through an active learning approach that builds on the properties conferred by the use of deep autoencoders. Empirical evaluation confirms the accomplishment of our cost-reduction desideratum, while achieving comparable effectiveness with state-of-the-art alternatives.  2021 IEEE.","Bogatu, Alex; Paton, Norman W.; Douthwaite, Mark; Davie, Stuart; Freitas, Andre",PO,YES,10.1109/ICDE51399.2021.00114,(1) DeepER (2) DeepMatcher (3) DITTO,(1) Restaurants (2) Citations 1 (3) Citations 2 (3) Cosmetics (4) Software (5) Music (6) Beer (7) Stocks (private) (8) CRM (private),duplicates,-,VAE and NN,(1) F1 (2) Precision (3) Recall,Better than compared approaches,,,,-,10,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2,0.0,2.0,-,
47,A probabilistic database approach to autoencoder-based data cleaning,Academia,arxiv,journalArticle,2021,"DC4ML, DC4ML - intro only, ML4DC",tabular,error detection/repair,"Data quality problems are a large threat in data science. In this paper, we propose a data-cleaning autoencoder capable of near-automatic data quality improvement. It learns the structure and dependencies in the data and uses it as evidence to identify and correct doubtful values. We apply a probabilistic database approach to represent weak and strong evidence for attribute value repairs. A theoretical framework is provided, and experiments show that it can remove significant amounts of noise (i.e., data quality problems) from categorical and numeric probabilistic data. Our method does not require clean data. We do, however, show that manually cleaning a small fraction of the data significantly improves performance. Copyright  2021, The Authors. All rights reserved.","Mauritz, R.R.; Nijweide, F.P.J.; Goseling, J.; van Keulen, M.",PO,YES,,-,(1) synthetic data set crated with a Bayesian Network and (2) unnamed data sets on surgeries  conducted at a hospital and chronic pain questionnaire; available https://zenodo.org/record/5136612#.YsMBotLMLl0,,(1) The model only ingest probabilistic data; data whose attributes are distributed along many values (effectively creating a probability distribution) (2) No idea how it performs on real world data (3) They created dirty data by adding Gaussian noise to the input data. I highly doubt this is representative of real world data (they operate on categorical data).,auto-encoder,"(1) On synthetic data: too many measures to report them all, consult the paper. Notably, they achieve up to 50% quality improvement on varying amount of noise in the semi-supervised setting (2) On real world data: none. They did not had a real data set with ground truth values.",-,(1) To measure the quality of a data set: Jensen-Shannon divergence between the ground truth data and the cleaned one; (2) to measure the improvement of the cleaning algo: the quotient of the JD of dirty data and cleaned data.,,,,13,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4,2.0,2.0,,
48,Research on Error Label Screening Method Based on Convolutional Neural Network,Academia,IEEE International Conference on Signal and Image Processing,conferencePaper,2021,"DC4ML, ML4DC",img,mislabel correction,"Supervised learning methods require a large number of labeled image data sets, but a large number of labeled image data sets are difficult to obtain in many practical applications, so it is necessary to develop weakly supervised learning methods. There is no good method for cleaning existing data sets containing false images that can simultaneously filter images with label noise and background noise. This paper presents a new method to solve the problem of image with label noise and background noise in weakly supervised learning, which can clean the wrong image with label noise and background noise. We first used the existing neural network VGG16_BN to extract the features of the image and delete the full connection layer. Then we added an error image automatic screening module to filter out the poor quality images and possible wrong images in priority. The images screened in this part include images with 40%-60% label noise and background noise. It can effectively reduce the screening range of the wrong image. We verified the effectiveness of the proposed method in the dataset of cat and dog dichoromy in the public dataset. We screened and determined that the dataset contained about 0.8% error images, and designed 200 error images to be screened by the proposed method. Finally, 186 designed error labels were screened out, which verified the effectiveness of the proposed method.  2021 IEEE.","Li, Zhengwen; Du, Wenju; Rao, Nini",,YES,10.1109/ICSIP52628.2021.9688888,"None
The paper claims they improved the accuracy of the network VGG16BN and achieved faster training, but they did not reported the VGG16BN results",images of cats and dogs from 2013 Kaggle contest ,"Label noise (mislabeled)
Background noise (poor quality)",,CNN,"screening error rate= 1.4%
screening accuracy = 53.6%
recall rate = 93%",,"* FER (screening error rate): percentage of the number of potentially wrong images (MW) screened to ALL images (ALL) contained in the
total data set
* PRE (screening accuracy): percentage true error images (TW) among all possible error images (MW) screened out
* PEC (screening recall rate): percentage of the screened true error images (TW) in all the true error images (ATW) in the data set.
",,,"Poor writing, shallow evaluation and not compared to any other approach
",8,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2,1.0,1.0,,
49,IGAEM: Improved Genetic Algorithm based Entity Matching,Academia,Journal of Physics: Conference Series,conferencePaper,2021,ML4DC,tabular,entity matching / duplicate removal,"The presence of duplicate records is a major data quality concern in huge datasets. To detect duplicates, entity matching is used as an essential step of the data cleaning process to map records that refer to the same real-world entity. Most of proposed algorithms require labeled data in order to train a classifier. However, we cannot always obtain labeled data. In our paper we propose an unsupervised approach for entity matching problem using an improved version of genetic algorithm. We explain the main improvements added to genetic algorithm and the encoding strategy to encode partitions in the form of a chromosome. Different similarity functions are used to compute similarities between records. The obtained results prove that our proposition stands as a powerful approach in the entity matching field where it outperforms the traditional genetic algorithm based approach.  Published under licence by IOP Publishing Ltd.","Aassem, Y.; Hafidi, I.; Aboutabit, N.",Dima,score too low - 3,10.1088/1742-6596/1743/1/012001,,Restaurant and DBLP-ACM,,,,,,,NO,,Bad paper with a lot of typos,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0,,
50,Interactive label cleaning with example-based explanations,Academia,NeurIPS,journalArticle,2021,"DC4ML, ML4DC",any,mislabel correction,"We tackle sequential learning under label noise in applications where a human supervisor can be queried to relabel suspicious examples. Existing approaches are flawed, in that they only relabel incoming examples that look ""suspicious"" to the model. As a consequence, those mislabeled examples that elude (or don't undergo) this cleaning step end up tainting the training data and the model with no further chance of being cleaned. We propose CINCER, a novel approach that cleans both new and past data by identifying pairs of mutually incompatible examples. Whenever it detects a suspicious example, CINCER identifies a counter-example in the training set that-according to the model-is maximally incompatible with the suspicious example, and asks the annotator to relabel either or both examples, resolving this possible inconsistency. The counter-examples are chosen to be maximally incompatible, so to serve as explanations of the model's suspicion, and highly influential, so to convey as much information as possible if relabeled. CINCER achieves this by leveraging an efficient and robust approximation of influence functions based on the Fisher information matrix (FIM). Our extensive empirical evaluation shows that clarifying the reasons behind the model's suspicions by cleaning the counter-examples helps in acquiring substantially better data and models, especially when paired with our FIM approximation. Copyright  2021, The Authors. All rights reserved.","Teso, Stefano; Bontempelli, Andrea; Giunchiglia, Fausto; Passerini, Andrea",PO,YES,,"depends on the experiment, both the most relevant: (1) without counter-examples and (2) without human labeler (i.e. drop sample)",(1) Adult (2) Breast (3) 20NG (4) MNIST (5) Fashion,mislabels,only models with cross-entropy loss,(1) logistic regression (2) feed-forward neural network (3) CNN,"better, see graphs",-,(1) nb of cleaned samples vs number of considered samples (2) end model f1 score,,,-,14,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4,2.0,2.0,https://github.com/abonte/cincer,
51,A supervised learning approach for detecting erroneoussamples in embeddings,,,journalArticle,2020,,,,"… In this work, we propose an error detection algorithm for dimensionality reduction algorithms based on recently developed error prediction algorithms for medical image registration. The …","Saygili, G",,exclusion criteria last step,,,,,,,,,,,PX69SA2G,,0,,,,,,,,0,,,,
52,Grammatical Error Detection with Self Attention by Pairwise Training,Academia,International Joint Conference on Neural Networks (IJCNN),journalArticle,2020,ML4DC,text,error detection/repair,"… -supervised with large unlabeled corpus are popular used in many NLP problems. The current state of the art models for text error detection … investigated for error detection, methods …","Wang, Q; Tan, Y",,YES,10.1109/IJCNN48605.2020.9206715,"(1) sequence labelling task
(2) Bi-LSTM
(3) a model using artificially generated data 
(4) BERT-Base
(5) BERT-Large","for training: 
(i) NUCLE
(ii) Lang-8
(iii) FCE
(iv) Synthetic
for testing:
(i) CoNLL-2014
(ii) JHU FLuency-Extended GUG corpus (JFLEG)
(iii) First Certificate in English (FCE) test set",Grammatical,,6 layers of BERT model and utilizing pairwise training,The proposed model outperforms all other compared models especially after filtering poor-quality synthetic data and using pair wise training ,-,"Precision
Recall
F0.5",,D5SRAPE4,,8,1.0,1.0,2.0,1.0,0.0,2.0,1.0,2,0.0,2.0,,
53,Dfr: Deep feature reconstruction for unsupervised anomaly segmentation,,,journalArticle,2020,ML4DC,img,error detection/repair,"… This paper proposes an effective unsupervised anomaly segmentation approach that can … Ulrich, “Real-time texture error detection on textured surfaces with compressed sensing,” …","Yang, J; Shi, Y; Qi, Z",PO,score too low - 2,,,,,,,,,,,QTQG94DB,,0,,,,,,,,0,0.0,0.0,,
54,MalJPEG: Machine Learning Based Solution for the Detection of Malicious JPEG Images,,,journalArticle,2020,,img,,"In recent years, cyber-attacks against individuals, businesses, and organizations have increased. Cyber criminals are always looking for effective vectors to deliver malware to victims in order to launch an attack. Images are used on a daily basis by millions of people around the world, and most users consider images to be safe for use; however, some types of images can contain a malicious payload and perform harmful actions. JPEG is the most popular image format, primarily due to its lossy compression. It is used by almost everyone, from individuals to large organizations, and can be found on almost every device (on digital cameras and smartphones, websites, social media, etc.). Because of their harmless reputation, massive use, and high potential for misuse, JPEG images are used by cyber criminals as an attack vector. While machine learning methods have been shown to be effective at detecting known and unknown malware in various domains, to the best of our knowledge, machine learning methods have not been used particularly for the detection of malicious JPEG images. In this paper, we present MalJPEG, the first machine learning-based solution tailored specifically at the efficient detection of unknown malicious JPEG images. MalJPEG statically extracts 10 simple yet discriminative features from the JPEG file structure and leverages them with a machine learning classifier, in order to discriminate between benign and malicious JPEG images. We evaluated MalJPEG extensively on a real-world representative collection of 156,818 images which contains 155,013 (98.85%) benign and 1,805 (1.15%) malicious images. The results show that MalJPEG, when used with the LightGBM classifier, demonstrates the highest detection capabilities, with an area under the receiver operating characteristic curve (AUC) of 0.997, true positive rate (TPR) of 0.951, and a very low false positive rate (FPR) of 0.004.  2020 IEEE.","Cohen, Aviad; Nissim, Nir; Elovici, Yuval",,score too low - 4,10.1109/ACCESS.2020.2969022,,,,,,,,,,FZ489MI2,,0,,,,,,,,0,0.0,0.0,,
55,Language modeling in speech recognition for grammatical error detection based on neural machine translation,,,journalArticle,2020,,,,"… application of deep learning, a large number of research studies on deep neural network (DNN)… Finally, we analyze the performance of the proposed LM in grammatical error detection (…","Fu, J; Chiba, Y; Nose, T; Ito, A",,exclusion criteria last step,,,,,,,,,,,SUA4MQQ5,,0,,,,,,,,0,,,,
56,Time Series Data Cleaning Based on Dynamic Speed Constraints,,,journalArticle,2020,DC4ML,tabular,error detection/repair,"… change, the existing data cleaning algorithms based on … other machine learning techniques like the popular deep learning [5… our approach to conduct data cleaning online while holding …","Ding, G; Li, C; Wei, R; Sun, S; Liu, Z; Fan, C",PO,Not accessible,10.1007/978-3-030-62008-0_33,,,,,,,,,,5TMQIBKX,,0,,,,,,,,0,,,,
57,An Automated Data Pre-processing Technique for Machine Learning in Critical Systems,,,journalArticle,2020,ML4DC,tabular,more-than-one,"In this paper, we propose the use of intelligent data cleaning techniques as opposed to traditional deterministic methods. It is shown in this paper that the use of machine learning techniques to clean data, particularly as used for filling-in missing data, improves the quality of subsequent data analysis. The results obtained in the comparative study indicate that the use of machine learning techniques, such as BOSOM and Kmeans clustering, in data preparation, increases the quality of subsequent data analysis. The quality of data analysis was measured using performance metrics such as the Cross-Entropy loss and the Mean Square Error","Madyembwa, M; Mzelikahle, K; ...",Dima,score too low,,"Fill by means, k-means clustering, linear regression, multivariate linear regression, BOSOSM clustering","The data is flight-level data from the US Department of Transportation, Bureau of Transportation Statistics.  Each of the seven (7) datasets is a single
file for each month of interest that includes various carries’ logs. The period covered by the datasets runs from January to July of 2018 ",,Not indicated.,"Use an unsupervised learning technique to cluster data into its inherent clusters for each property. In this study, the unsupervised learning technique of choice is the Bat Optimised Self Organised Map (BOSOM). Use auto-regression to fill-in missing data elements for each property based on each cluster obtained.",only evaluating the accuracy of the model trained on the cleaned dataset,only evaluating the accuracy of the model trained on the cleaned dataset,"The Mean Square Error (MSE) metric was used to calculate the performance of each subsequent technique on a given dataset, for each data cleaning method. Another metric used for assessing the relative performance of data analysis techniques is the Cross-Entropy (CE) loss metric. In this case, the CE loss is used to measure the rate of loss of predicted data elements based on varying data cleaning techniques used.",,Q2I895AM,Very poorly written article. We can’t include it to the review.,4,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2,1.0,1.0,,
58,GraphER: Token-centric entity resolution with graph convolutional neural networks,Academia,AAAI,conferencePaper,2020,ML4DC,tabular,entity matching / duplicate removal,"Entity resolution (ER) aims to identify entity records that refer to the same real-world entity, which is a critical problem in data cleaning and integration. Most of the existing models are attribute-centric, that is, matching entity pairs by comparing similarities of pre-aligned attributes, which require the schemas of records to be identical and are too coarse-grained to capture subtle key information within a single attribute. In this paper, we propose a novel graph-based ER model GraphER. Our model is token-centric: the final matching results are generated by directly aggregating token-level comparison features, in which both the semantic and structural information has been softly embedded into token embeddings by training an Entity Record Graph Convolutional Network (ER-GCN). To the best of our knowledge, our work is the first effort to do token-centric entity resolution with the help of GCN in entity resolution task. Extensive experiments on two real-world datasets demonstrate that our model stably outperforms state-of-the-art models. Copyright  2020, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.","Li, Bing; Wang, Wei; Sun, Yifang; Zhang, Linhan; Ali, Muhammad Asif; Wang, Yi",PO,YES,,"(1) Magellan (2) RNN (Mudgal et al. 2018), (3) Hybrid (Mudgal et al.
2018)",(1) Amazon-Google (2) BeerAdvo-RateBeer,duplicates,-,open up for details,above compared approches,-,precision recall f1-score of detected matches,,BTIGMQDZ,-,12,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4,2.0,2.0,https://github.com/windofshadow/GraphER,
59,Tomographic Auto-Encoder: Unsupervised Bayesian Recovery of Corrupted Data,Both,arxiv,journalArticle,2020,ML4DC,img,error detection/repair,"… Traditional data cleaning methods rely on some degree of … in recent years, makes any supervised algorithm impractical in the … to perform automated data cleaning and recovery without …","Tonolini, F; Moreno, PG; Damianou, A; ...",PO,YES,,(1) missing value imputation VAE (MVAE) (2) missing values importance weighted auto encoder (MIWAE),"MNIST (image), Fashion-MNIST (image), UCI HAR (tabular), NYU depth maps (image)","noise, missing value",-,modified VAE (they named it TAE),generally better,-,(1) peak signal to noise ratio (PSNR) for image reconstruction quality and (2) end model accuracy,,34QB87SI,"(1) very mathy, I did not fully understood their approach (2) they have data leaks in their experiments (3) I am not sure whether we should include it in our SLR, if yes, perform snowballing",11,2.0,2.0,1.0,2.0,0.0,2.0,2.0,4,2.0,2.0,-,
60,Training-ValueNet: A new approach for label cleaning on weakly-supervised datasets,Academia,IEEE International Conference on Development and Learning and Epigenetic Robotics (ICDL-EpiRob),conferencePaper,2020,ML4DC,img,mislabel correction,… supervised label cleaning and outlier detection. Let us now briefly examine each approach in turn. Semi-supervised label cleaning … partial automation of the label cleaning process. The …,"Smyth, L",PO,YES,,(1) semi-supervised methods and (2) unsupervised methods. See paper for the full list.,(1) Clothing 1M (2) Aircraft-7 ,mislabels,-,Training ValueNet is a MLP with one hidden layer. They use different CNNs for feature extraction. Read paper for more details.,Better than unsupervised methods but worse than semi-supervised ones. Their method is an unsupervised one (it can be semi-supervised if we provide a clean label set),-,(1) accuracy of error detection (2) improvement of the end model,,U3FCC77F,"Clear, short and sweet. the perfect paper.",12,2.0,2.0,2.0,2.0,0.0,2.0,2.0,4,2.0,2.0,-,
61,A Comprehensive Benchmark Framework for Active Learning Methods in Entity Matching,Both,ACM SIGMOD,journalArticle,2020,ML4DC,tabular,entity matching / duplicate removal,"Entity Matching (EM) is a core data cleaning task, aiming to identify different mentions of the same real-world entity. Active learning is one way to address the challenge of scarce labeled data in practice, by dynamically collecting the necessary examples to be labeled by an Oracle and refining the learned model (classifier) upon them. In this paper, we build a unified active learning benchmark framework for EM that allows users to easily combine different learning algorithms with applicable example selection algorithms. The goal of the framework is to enable concrete guidelines for practitioners as to what active learning combinations will work well for EM. Towards this, we perform comprehensive experiments on publicly available EM datasets from product and publication domains to evaluate active learning methods, using a variety of metrics including EM quality, #labels and example selection latencies. Our most surprising result finds that active learning with fewer labels can learn a classifier of comparable quality as supervised learning. In fact, for several of the datasets, we show that there is an active learning combination that beats the state-of-the-art supervised learning result. Our framework also includes novel optimizations that improve the quality of the learned model by roughly 9% in terms of F1-score and reduce example selection latencies by up to 10 without affecting the quality of the model. Copyright  2020, The Authors. All rights reserved.","Meduri, Vamsi; Popa, Lucian; Sen, Prithviraj; Sarwat, Mohamed",PO,YES,,Open page,(1) Abt-Buy (2) Amazon-GoogleProducts (3) DBLP-ACM (4) DBLP-Scholar (5) Cora (6) Walmart-Amazon (7) Amazon-BestBuy (8) BeerAdvocate-RateBeer (9) BuyBuyBaby-BabiesRUs,-,-,-,-,-,See paper. F1-score,,78EGLADL,-,12,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2,0.0,2.0,-,
